OE-1,             Web Store shall operate with the following internet browsers: Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5.            
OE-2,             Web Store shall operate on an Intel based system with Slackware Linux 2.6 and Apache Web Server. The operating system is designed by the Yoggie Corporation. Although maintenance documentation will be supplied and the operating system will be tested, the developers of this Web Store are not responsible for the functionality of the operating system.            
OE-3,              The system shall use SQL based database to store inventory information.            
OE-4,                 USB interface and divers are provided by Yoggie Corporation.            
CO-1,                 Must use a SQL based database. SQL standard is the most widely used database format. Restricting to SQL allows easy of use and compatibility for Web Store.            
CO-2,                 Compatibility is only tested and verified for Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5. Other versions may not be 100% compatible. Also other browsers such as Mozilla or Firefox may not be 100% compatible.            
UD-1,             Shall install online help for users via the web interface            
UD-2,             Shall deliver Operations and Maintenance manual, Users Guide book, and Installation Instructions for the Administrator.            
AD-1,              Assume the delivery of development, test and evaluate samples of the USB system from Yoggie.            
AD-2,             Assume Yoggie will freeze the baseline of the USB system after delivery.            
1,                 Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.            
2,             The system shall be able to handle 1000 customers logged in concurrently at the same time.            
3,              The system shall be able to retrieve 200 products per second.            
4,             The system shall be able to add product to shopping cart in less than 2ms.            
5,             The system shall be able to search for a specified product in less than 1 second.            
6,              The system shall be able to email customer and vendor in less than 1 second.            
7,              The system shall be able to validate credit card in less than 2 seconds.            
8,              The system shall be able to acquire shipping charges in less than 2 seconds.            
9,              The system shall be able to restore 1000 records per second.            
1,                 The system will do periodic backups through a live internet connection.                
1,                         The system shall validate credit cards against fraud.                    
2,                     The system shall encrypt all sensitive information via https.                    
3,                     The system shall encrypt all customer data in database.                    
4,                     The system shall auto detect IP DOS attacks and block IP automatically.                    
5,                     The system shall detect consecutive failed login attempts.                    
6,                     The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/                    
1,                         The system shall have an availability of 99.99%.                        
1,                                 The system shall perform searches via Dijkstra's shortest path algorithm.                            
2,                                 For returning customers, the system shall validate 'existing' credit card in system                                after each log in.                            
3,                             The system shall automatically compress image files that are too large in size.                            
4,                             The system will employ on demand asynchronous loading for faster execution of pages.                            
5,                             The system shall validate email address existence.                            
1,                                 The system shall be easy to use                                
2,                                 The system shall be easy to learn                                
3,                                  The system shall utilize help bubbles to assist managers, customers, and administrators                                
4,                                  The system shall employ easy to locate buttons                                
5,                                  The system shall prompt customer with friend easy to read error messages.                                
6,                                 The system shall utilize consistent symbols and colors for clear notifications.                                
1,                                         The system shall utilize interchangeable plugins.                                    
2,                                      The system shall be easily updatable for fixes and patches.                                    
3,                                     The system shall create logs of all changes, updates, or fixes that are done to the site.                                    
4,                                     The system shall be easy to upgrade.                                    
1,                                         The system shall be extremely portable via the usb drive.                                        
2,                                         The system shall be easy to migrate or backed up via another usb drive.                                        
1,                                             The system should be able to run under debug mode.                                            
2,                                              The system should be able to run test credit card transactions.                                            
3,                                             The system should be able to run test shipping orders.                                            
4,                                             The system should be able to create test environment of weborder system.                                            
1,             The system hardware shall be fixed and patched via an internet connection.        
2,             Yoggie shall coordinate on future enhancement and features with our            organization.        
3,         The system shall adhere to the following hardware requirements:                    4GB Flash ram chip            128MB SDRAM            Intel XScale PXA270 520-MHz chipset            OS: Apache web server            Database: MySQL                
